timestamp,stage_first_suction_p,stage_first_discharge_p,stage_second_suction_p,stage_first_suction_temp,suction_flow,discharge_flow,primary_seal_gas_p,secondary_seal_gas_p_de,secondary_seal_gas_p_nde,primary_seal_vent_flow_de,primary_seal_vent_flow_nde,primary_seal_supply_dp,lube_oil_header_pressure,compressor_journal_bearing_temperature_de,compressor_journal_bearing_temp_nde,ratio,stage_first_discharge_temperature,turbine_inlet_vibrations,steam_turbine_inlet_steam_temp,steam_turbine_inlet_steam_flow,steam_turbine_inlet_steam_pressure,steam_turbine_outlet_pressure,steam_turbine_outlet_steam_temp,power,stage_first_polytropic_efficiency,turbine_axial_displacement_b,turbine_axial_displacement_a,compressor_speed
2021-05-11 12:30,0.36,4.01,4.54,105.75,945.01,107984.24,1.33,0.79,0.61,8.74,7.84,0.89,13.21,78,75,1.02,104.05,12.35,369.9,71.61,34.59,-0.92,44.25,0,83.27,-0.3,-0.34,3886.22
2021-05-11 12:35,0.36,4.02,4.55,105.85,936.25,107305.05,1.34,0.79,0.61,8.74,7.84,0.89,13.24,78.49,75,1.02,104.1,12.28,370.01,71.55,34.62,-0.92,44.28,0,83.19,-0.3,-0.34,3897.38
2021-05-11 12:40,0.37,4.02,4.56,105.9,980,107459.03,1.35,0.79,0.61,8.74,7.84,0.91,13.12,78,75,1.02,104.15,12.28,370.07,71.51,34.75,-0.92,44.34,0,82.84,-0.3,-0.34,3895.73
2021-05-11 12:45,0.36,4.03,4.56,105.85,950,108866.32,1.33,0.79,0.61,8.74,7.85,0.89,13.39,78.85,75,1.02,104.15,12.26,369.95,71.49,34.7,-0.92,44.36,0,83.14,-0.3,-0.34,3895.74
2021-05-11 12:50,0.37,4.03,4.56,105.95,973.13,109777.2,1.34,0.79,0.61,8.74,7.85,0.9,13.4,78.97,75,1.02,104.2,12.28,369.89,71.56,34.71,-0.92,44.37,0,82.84,-0.3,-0.34,3899.26
2021-05-11 12:55,0.36,4.03,4.57,105.95,962.5,108088.51,1.35,0.79,0.61,8.74,7.84,0.9,13.31,78.97,75,1.02,104.25,12.28,369.87,71.4,34.74,-0.92,44.41,0,82.88,-0.3,-0.34,3897.11
2021-05-11 13:00,0.36,4.02,4.55,106,954.06,106647.78,1.33,0.79,0.61,8.74,7.84,0.89,13.34,78.97,75,1.02,104.25,12.28,369.9,71.43,34.77,-0.92,44.44,0,83,-0.3,-0.34,3891.83
2021-05-11 13:05,0.36,4.02,4.56,106,949.06,105294.23,1.35,0.79,0.61,8.74,7.85,0.89,13.32,78.97,75,1.02,104.4,12.2,369.88,71.45,34.53,-0.92,44.47,0,82.86,-0.3,-0.34,3890.75
2021-05-11 13:10,0.37,4.02,4.55,106.05,960.31,107723.6,1.36,0.79,0.61,8.73,7.84,0.91,13.28,78.97,75,1.01,104.6,12.19,369.88,71.66,34.53,-0.92,44.5,0,82.77,-0.3,-0.34,3894.68
2021-05-11 13:15,0.37,4.02,4.55,106.1,984.38,108607.66,1.35,0.79,0.61,8.73,7.84,0.91,13.27,78.97,75,1.01,104.8,12.16,369.79,71.77,34.57,-0.92,44.53,0,82.4,-0.3,-0.34,3890.87
2021-05-11 13:20,0.37,4.02,4.55,106.15,966.25,109278.88,1.34,0.79,0.61,8.73,7.84,0.89,13.28,78.97,75,1.01,105,12.63,369.85,71.79,34.59,-0.92,44.47,0,82.66,-0.3,-0.34,3898.89
2021-05-11 13:25,0.37,4.02,4.56,106.2,969.06,108062.48,1.34,0.79,0.61,8.73,7.84,0.89,13.26,78.97,75,1.01,105.2,12.34,369.84,71.73,34.64,-0.92,44.5,0,82.37,-0.3,-0.34,3892.46
2021-05-11 13:30,0.37,4.03,4.57,106.25,948.44,108555.86,1.33,0.79,0.61,8.73,7.84,0.91,13.16,78.06,75,1.01,105.35,12.38,369.88,71.73,34.68,-0.92,44.53,0,82.21,-0.3,-0.34,3900.42
2021-05-11 13:35,0.37,4.03,4.57,106.25,969.08,107226.4,1.34,0.79,0.61,8.73,7.84,0.9,13.26,78,75,1.01,105.45,12.61,369.85,71.55,34.65,-0.92,44.43,0,82.42,-0.3,-0.34,3900.88
2021-05-11 13:40,0.36,4.03,4.57,106.25,954.38,108762.93,1.34,0.79,0.61,8.73,7.84,0.9,13.22,78,75,1.01,105.5,12.87,369.8,71.71,34.53,-0.92,44.18,0,82.77,-0.3,-0.34,3904.79
2021-05-11 13:45,0.36,4.03,4.57,106.25,990.31,106832.24,1.35,0.79,0.61,8.73,7.84,0.89,13.31,78,75,1.01,105.5,12.53,369.74,71.33,34.57,-0.92,43.91,0,82.71,-0.3,-0.34,3907.53
